TIME, AC_VRMS_1, AC_IRMS_1, AC_P_1, AC_S_1, AC_Q_1, AC_PF_1, AC_FREQ_1, AC_VRMS_2, AC_IRMS_2, AC_P_2, AC_S_2, AC_Q_2, AC_PF_2, AC_FREQ_2, AC_VRMS_3, AC_IRMS_3, AC_P_3, AC_S_3, AC_Q_3, AC_PF_3, AC_FREQ_3, DC_V, DC_I, DC_P, PF_TARGET, PF_MAX, PF_MIN
1549009507.23, 277.346, 7.25, 1614.0, 2013.0, 1202.0, -0.80188, 60.0, 277.451, 7.31, 1620.0, 2028.0, 1221.0, -0.79864, 60.002, 277.263, 7.29, 1617.0, 2020.0, 1211.0, -0.8005, 60.001, 451.05, 0.035, 16.0, 1.0, 0.98, -0.98
1549009508.22, 277.091, 6.34, 1613.0, 1814.0, 830.0, -0.88923, 60.0, 276.964, 6.41, 1622.0, 1828.0, 843.0, -0.88737, 59.999, 276.912, 6.35, 1611.0, 1815.0, 835.0, -0.88776, 60.0, 449.5, 0.034, 15.0, 1.0, 0.98, -0.98
1549009509.23, 276.758, 5.85, 1615.0, 1623.0, 158.0, -0.99527, 60.001, 276.925, 5.91, 1627.0, 1636.0, 169.0, -0.99464, 60.002, 276.79, 5.83, 1608.0, 1617.0, 164.0, -0.99483, 60.0, 454.23, 0.036, 16.0, 1.0, 0.98, -0.98
1549009510.22, 277.01, 5.84, 1615.0, 1615.0, -13.0, 0.99997, 60.001, 276.924, 5.89, 1626.0, 1626.0, 4.0, -1.0, 59.999, 276.922, 5.82, 1608.0, 1608.0, -6.0, 0.99999, 60.0, 456.02, 0.037, 17.0, 1.0, 0.98, -0.98
1549009511.23, 277.073, 5.86, 1621.0, 1621.0, -9.0, 0.99998, 59.999, 277.227, 5.89, 1626.0, 1626.0, 4.0, -1.0, 60.001, 277.023, 5.81, 1607.0, 1607.0, -4.0, 1.0, 60.0, 455.97, 0.04, 18.0, 1.0, 0.98, -0.98
